,root,type,struct,f_pos,notes,difficulty,complexity,chord
1190,A,13,1;3;5;b7;9;11;13,"x,1,3,4,2,x","G,C#,F#,A",2,74.97,A13
1189,A,13,1;3;5;b7;9;11;13,"1,x,3,2,4,x","A,A,C#,F#",2,74.97,A13
1188,A,13,1;3;5;b7;9;11;13,"1,x,2,3,4,x","A,G,C#,F#",2,74.97,A13
1187,A,13,1;3;5;b7;9;11;13,"1,3,1,2,4,1","A,E,G,C#,F#,A",4,74.97,A13
1186,A,13,1;3;5;b7;9;11;13,"x,0,1,2,3,1","A,G,C#,F#,A",3,74.97,A13
1185,A,13,1;3;5;b7;9;11;13,"x,0,1,2,3,4","A,C#,G,B,F#",3,74.97,A13
1210,A,9b5,1;3;b5;b7;9,"x,0,1,2,3,1","A,A,Eb,G,B",3,70.56,A9b5
1211,A,maj13,1;3;5;7;9;11;13,"1,x,2,3,4,x","A,G#,C#,F#",2,74.97,Amaj13
1212,A,maj13,1;3;5;7;9;11;13,"x,0,4,1,3,0","A,F#,G#,C#,E",3,74.97,Amaj13
1213,A,7,1;3;5;b7,"x,0,1,0,3,0","A,E,G,C#,E",3,44.1,A7
1239,A,dim7,1;b3;b5;bb7,"x,x,x,2,1,3","Eb,Gb,C",1,44.1,Adim7
1238,A,dim7,1;b3;b5;bb7,"2,x,1,3,1,x","A,Gb,C,Eb",2,44.1,Adim7
1237,A,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","Gb,C,Eb,A",2,44.1,Adim7
1236,A,dim7,1;b3;b5;bb7,"x,0,1,3,x,x","A,Gb,C",1,44.1,Adim7
1235,A,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","A,Eb,Gb,C",2,44.1,Adim7
1234,A,dim7,1;b3;b5;bb7,"x,0,1,3,2,4","A,Gb,C,Eb,A",3,44.1,Adim7
1233,A,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","Eb,A,C,Gb",2,44.1,Adim7
1232,A,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","C,Gb,A,Eb",2,44.1,Adim7
1231,A,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","Gb,C,Eb,A",2,44.1,Adim7
1230,A,dim7,1;b3;b5;bb7,"2,4,1,3,x,x","A,Eb,Gb,C",2,44.1,Adim7
1229,A,7,1;3;5;b7,"x,2,x,1,3,0","G,E,A,E",2,44.1,A7
1228,A,7,1;3;5;b7,"x,0,3,0,2,1","A,C#,G,A,C#",3,44.1,A7
1298,A,m7b5,1;b3;b5;b7,"2,x,3,4,1,x","A,G,C,Eb",2,44.1,Am7b5
1227,A,7,1;3;5;b7,"x,0,x,0,2,x","A,G,C#",1,44.1,A7
1225,A,7,1;3;5;b7,"x,0,x,x,1,3","A,C#,G",1,44.1,A7
1224,A,7,1;3;5;b7,"x,2,1,3,x,x","A,C#,G",1,44.1,A7
1223,A,7,1;3;5;b7,"x,0,1,3,2,0","A,G,C#,E,E",3,44.1,A7
1222,A,7,1;3;5;b7,"x,x,x,2,1,3","E,G,C#",1,44.1,A7
1221,A,7,1;3;5;b7,"x,0,2,0,x,x","A,E,G",1,44.1,A7
1220,A,7,1;3;5;b7,"x,3,2,0,1,0","A,C#,G,A,E",3,44.1,A7
1219,A,7,1;3;5;b7,"2,1,4,0,x,x","A,C#,G,G",2,44.1,A7
1218,A,7,1;3;5;b7,"x,0,2,0,3,4","A,E,G,C#,G",3,44.1,A7
1217,A,7,1;3;5;b7,"x,0,1,2,3,4","A,E,A,C#,G",3,44.1,A7
1216,A,7,1;3;5;b7,"1,3,1,2,1,1","A,E,G,C#,E,A",4,44.1,A7
1215,A,7,1;3;5;b7,"x,3,2,4,1,0","A,C#,G,A,E",3,44.1,A7
1214,A,7,1;3;5;b7,"1,3,1,2,4,1","A,E,G,C#,G,A",4,44.1,A7
1226,A,7,1;3;5;b7,"1,x,2,3,x,x","A,G,C#",1,44.1,A7
1184,A,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4","A,G,C#,F#,B",3,74.97,A13
1299,A,m,1;b3;5,"x,0,2,3,1,0","A,E,A,C,E",3,22.05,Am
1301,A,m,1;b3;5,"x,0,1,3,4,2","A,A,E,A,C",3,22.05,Am
1386,A,5,1;5,"x,x,1,3,4,x","A,E,A",1,0.0,A5
1385,A,5,1;5,"x,1,3,4,x,x","A,E,A",1,0.0,A5
1384,A,5,1;5,"x,x,1,3,x,x","A,E",0,0.0,A5
1383,A,5,1;5,"x,0,1,3,4,x","A,A,E,A",2,0.0,A5
1382,A,5,1;5,"1,3,4,x,x,x","A,E,A",1,0.0,A5
1381,A,5,1;5,"x,1,3,x,x,x","A,E",0,0.0,A5
1380,A,5,1;5,"4,x,1,1,x,x","A,E,A",1,0.0,A5
1379,A,5,1;5,"x,0,1,1,4,x","A,E,A,E",2,0.0,A5
1378,A,5,1;5,"x,0,1,x,x,x","A,E",0,0.0,A5
1377,A,5,1;5,"x,0,1,1,x,x","A,E,A",1,0.0,A5
1376,A,5,1;5,"x,1,1,x,x,x","E,A",0,0.0,A5
1375,A,5,1;5,"1,3,x,x,x,x","A,E",0,0.0,A5
1374,A,maj7,1;3;5;7,"x,x,x,1,1,3","A,C#,G#",1,26.46,Amaj7
1373,A,maj7,1;3;5;7,"x,3,4,1,2,0","G#,C#,E,A,E",3,26.46,Amaj7
1372,A,maj7,1;3;5;7,"1,x,3,4,2,x","A,G#,C#,E",2,26.46,Amaj7
1371,A,maj7,1;3;5;7,"x,4,3,1,1,1","A,C#,E,G#,C#",3,26.46,Amaj7
1370,A,maj7,1;3;5;7,"x,0,4,3,2,1","A,A,C#,E,G#",3,26.46,Amaj7
1369,A,maj7,1;3;5;7,"x,0,2,1,3,0","A,E,G#,C#,E",3,26.46,Amaj7
1368,A,7sus4,1;4;5;b7,"x,0,1,1,2,4","A,A,D,G,D",3,39.69,A7sus4
1367,A,7sus4,1;4;5;b7,"1,3,1,4,1,1","A,E,G,D,E,A",4,39.69,A7sus4
1366,A,7sus4,1;4;5;b7,"x,0,1,0,3,0","A,E,G,D,E",3,39.69,A7sus4
1365,A,7(#5),1;3;#5;b7,"1,x,2,3,4,x","A,G,C#,E#",2,44.1,A7(#5)
1364,A,7(#5),1;3;#5;b7,"x,1,2,1,1,x","G,C#,E#,A",2,44.1,A7(#5)
1363,A,7(#5),1;3;#5;b7,"1,x,1,2,3,1","A,G,C#,E#,A",3,44.1,A7(#5)
1362,A,7(#5),1;3;#5;b7,"x,0,3,0,2,1","A,E#,G,C#,E#",3,44.1,A7(#5)
1387,A,5,1;5,"x,0,1,1,4,4","A,E,A,E,A",3,0.0,A5
1361,A,6,1;3;5;6,"x,x,x,2,4,1","C#,F#,A",1,26.46,A6
1388,A,5,1;5,"x,x,x,1,4,x","A,E",0,0.0,A5
1390,A,13(#9),1;3;5;b7;#9;11;13,"x,x,1,2,3,4","G,C#,F#,B#",2,83.79,A13(#9)
1415,A,6/9,1;3;5;6;9,"x,0,2,1,3,4","A,A,C#,F#,B",3,52.92,A6/9
1414,A,6/9,1;3;5;6;9,"x,0,1,1,3,4","A,F#,B,E,A",3,52.92,A6/9
1413,A,6/9,1;3;5;6;9,"x,0,3,1,0,0","A,F#,A,B,E",3,52.92,A6/9
1412,A,sus4,1;4;5,"x,0,1,1,2,x","A,E,A,D",2,17.64,Asus4
1411,A,sus4,1;4;5,"x,0,1,2,3,4","A,A,E,A,D",3,17.64,Asus4
1410,A,sus4,1;4;5,"x,0,3,4,1,1","A,A,D,E,A",3,17.64,Asus4
1409,A,sus4,1;4;5,"x,0,1,1,2,0","A,E,A,D,E",3,17.64,Asus4
1408,A,13(b9),1;3;5;b7;b9;11;13,"x,x,1,2,4,3","G,C#,F#,Bb",2,83.79,A13(b9)
1407,A,m9,1;b3;5;b7;9,"1,3,1,1,1,4","A,E,G,C,E,B",4,61.74,Am9
1406,A,m9,1;b3;5;b7;9,"x,0,1,1,4,3","A,G,C,G,B",3,61.74,Am9
1405,A,m9,1;b3;5;b7;9,"4,2,1,0,0,x","A,C,E,G,B",3,61.74,Am9
1404,A,m9,1;b3;5;b7;9,"x,0,2,0,0,0","A,E,G,B,E",3,61.74,Am9
1403,A,m9,1;b3;5;b7;9,"x,0,3,4,0,0","A,G,C,B,E",3,61.74,Am9
1402,A,m9,1;b3;5;b7;9,"x,2,1,3,4,x","A,C,G,B",2,61.74,Am9
1401,A,m9,1;b3;5;b7;9,"x,x,2,1,4,3","A,C,G,B",2,61.74,Am9
1400,A,m9,1;b3;5;b7;9,"x,2,1,3,4,0","A,C,G,B,E",3,61.74,Am9
1399,A,m9,1;b3;5;b7;9,"x,0,1,1,1,3","A,G,C,E,B",3,61.74,Am9
1398,A,m9,1;b3;5;b7;9,"x,0,2,4,1,3","A,E,B,C,G",3,61.74,Am9
1397,A,7(b9),1;3;5;b7;b9,"x,0,1,3,2,x","A,C#,G,Bb",2,52.92,A7(b9)
1396,A,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3","A,G,C#,E,Bb",3,52.92,A7(b9)
1395,A,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x","A,C#,G,Bb",2,52.92,A7(b9)
1394,A,m6,1;b3;5;6,"2,x,1,3,3,3","A,F#,C,E,A",3,44.1,Am6
1393,A,m6,1;b3;5;6,"x,0,1,3,2,0","A,C,F#,A,E",3,44.1,Am6
1392,A,m6,1;b3;5;6,"1,x,3,1,4,1","A,A,C,F#,A",3,44.1,Am6
1391,A,m6,1;b3;5;6,"x,0,2,3,1,4","A,E,A,C,F#",3,44.1,Am6
1389,A,7(#11),1;3;5;b7;#11,"2,x,3,4,1,x","A,G,C#,D#",2,57.33,A7(#11)
1360,A,6,1;3;5;6,"0,0,1,1,1,1","E,A,E,A,C#,F#",4,26.46,A6
1359,A,6,1;3;5;6,"1,4,x,x,x,x","A,F#",0,26.46,A6
1358,A,6,1;3;5;6,"x,0,x,2,4,1","A,C#,F#,A",2,26.46,A6
1327,A,m7,1;b3;5;b7,"x,0,2,3,1,4","A,E,A,C,G",3,44.1,Am7
1326,A,m7,1;b3;5;b7,"1,3,1,1,1,1","A,E,G,C,E,A",4,44.1,Am7
1325,A,m7,1;b3;5;b7,"x,0,1,4,2,3","A,A,E,G,C",3,44.1,Am7
1324,A,m7,1;b3;5;b7,"1,3,1,1,4,1","A,E,G,C,G,A",4,44.1,Am7
1323,A,m7,1;b3;5;b7,"x,0,2,0,1,0","A,E,G,C,E",3,44.1,Am7
1322,A,9(#11),1;3;5;b7;9;#11,"2,x,3,1,1,x","A,G,B,D#",2,61.74,A9(#11)
1321,A,7b5,1;3;b5;b7,"x,0,1,2,3,4","A,A,Eb,G,C#",3,52.92,A7b5
1320,A,7b5,1;3;b5;b7,"x,0,2,4,1,3","A,G,C#,Eb,A",3,52.92,A7b5
1319,A,7b5,1;3;b5;b7,"x,0,1,0,2,x","A,Eb,G,C#",2,52.92,A7b5
1318,A,m,1;b3;5,"x,4,2,1,x,x","A,C,E",1,22.05,Am
1317,A,m,1;b3;5,"x,x,x,2,1,0","A,C,E",1,22.05,Am
1316,A,m,1;b3;5,"x,0,1,4,4,x","A,E,C,E",2,22.05,Am
1314,A,m,1;b3;5,"0,x,x,2,3,1","E,E,A,C",2,22.05,Am
1313,A,m,1;b3;5,"x,0,3,2,4,x","A,C,E,A",2,22.05,Am
1312,A,m,1;b3;5,"2,x,1,4,x,3","C,A,E,C",2,22.05,Am
1311,A,m,1;b3;5,"x,0,1,3,x,2","A,A,E,C",2,22.05,Am
1310,A,m,1;b3;5,"x,0,x,1,1,1","A,C,E,A",2,22.05,Am
1309,A,m,1;b3;5,"x,0,x,2,1,0","A,A,C,E",2,22.05,Am
1308,A,m,1;b3;5,"x,x,x,1,1,1","C,E,A",1,22.05,Am
1307,A,m,1;b3;5,"x,x,3,1,x,x","A,C",0,22.05,Am
1306,A,m,1;b3;5,"x,3,4,1,1,1","E,A,C,E,A",3,22.05,Am
1305,A,m,1;b3;5,"x,x,x,2,1,0","C,E,E",1,22.05,Am
1304,A,m,1;b3;5,"x,x,3,1,1,1","A,C,E,A",2,22.05,Am
1303,A,m,1;b3;5,"x,4,2,3,1,0","C,E,A,C,E",3,22.05,Am
1302,A,m,1;b3;5,"x,0,3,1,1,1","A,A,C,E,A",3,22.05,Am
1328,A,m7,1;b3;5;b7,"2,x,3,3,x,x","A,G,C",1,44.1,Am7
1329,A,m7,1;b3;5;b7,"2,x,3,3,3,x","A,G,C,E",2,44.1,Am7
1330,A,m7,1;b3;5;b7,"x,0,2,0,1,4","A,E,G,C,G",3,44.1,Am7
1331,A,m7,1;b3;5;b7,"x,2,1,3,4,x","A,C,G,C",2,44.1,Am7
1357,A,6,1;3;5;6,"x,x,3,2,4,1","A,C#,F#,A",2,26.46,A6
1356,A,6,1;3;5;6,"x,x,x,1,1,1","A,C#,F#",1,26.46,A6
1355,A,6,1;3;5;6,"x,x,3,2,4,0","A,C#,F#,E",2,26.46,A6
1354,A,6,1;3;5;6,"x,0,3,x,x,x","A,F#",0,26.46,A6
1353,A,6,1;3;5;6,"2,x,1,4,3,x","A,F#,C#,E",2,26.46,A6
1352,A,6,1;3;5;6,"x,1,x,2,3,0","F#,E,A,E",2,26.46,A6
1351,A,6,1;3;5;6,"x,x,1,1,1,1","E,A,C#,F#",2,26.46,A6
1350,A,6,1;3;5;6,"x,0,4,1,2,0","A,F#,A,C#,E",3,26.46,A6
1349,A,6,1;3;5;6,"x,0,2,3,1,0","A,C#,F#,A,E",3,26.46,A6
1348,A,6,1;3;5;6,"1,x,3,2,4,1","A,A,C#,F#,A",3,26.46,A6
1347,A,6,1;3;5;6,"x,0,1,1,1,1","A,E,A,C#,F#",3,26.46,A6
1346,A,dim,1;b3;b5,"x,0,1,3,x,x","A,Eb,A",1,22.05,Adim
1300,A,m,1;b3;5,"1,3,4,1,1,1","A,E,A,C,E,A",4,22.05,Am
1345,A,dim,1;b3;b5,"x,0,1,2,4,3","A,A,Eb,A,C",3,22.05,Adim
1343,A,dim,1;b3;b5,"x,0,1,2,3,x","A,Eb,A,C",2,22.05,Adim
1342,A,m7,1;b3;5;b7,"4,x,2,3,1,0","G,E,A,C,E",3,44.1,Am7
1341,A,m7,1;b3;5;b7,"x,x,2,3,1,4","E,A,C,G",2,44.1,Am7
1340,A,m7,1;b3;5;b7,"x,1,3,3,3,3","C,G,C,E,A",3,44.1,Am7
1339,A,m7,1;b3;5;b7,"2,x,1,3,2,x","C,A,E,G",2,44.1,Am7
1338,A,m7,1;b3;5;b7,"x,0,3,3,x,x","A,G,C",1,44.1,Am7
1337,A,m7,1;b3;5;b7,"3,x,2,0,1,0","G,E,G,C,E",3,44.1,Am7
1336,A,m7,1;b3;5;b7,"x,1,x,x,2,4","A,C,G",1,44.1,Am7
1335,A,m7,1;b3;5;b7,"x,0,1,1,1,1","A,G,C,E,A",3,44.1,Am7
1334,A,m7,1;b3;5;b7,"x,0,2,0,1,x","A,E,G,C",2,44.1,Am7
1333,A,m7,1;b3;5;b7,"x,0,x,0,1,x","A,G,C",1,44.1,Am7
1332,A,m7,1;b3;5;b7,"x,2,1,3,x,x","A,C,G",1,44.1,Am7
1344,A,dim,1;b3;b5,"x,0,4,3,1,2","A,A,C,Eb,A",3,22.05,Adim
1183,A,13,1;3;5;b7;9;11;13,"x,0,4,3,1,1","A,G,B,C#,F#",3,74.97,A13
0,A#,13,1;3;5;b7;9;11;13,"x,1,0,2,3,4","A#,C##,G#,B#,F##",3,74.97,A#13
41,A#,7b5,1;3;b5;b7,"x,x,1,2,3,4","A#,E,G#,C##",2,52.92,A#7b5
20,A#,dim7,1;b3;b5;bb7,"2,x,1,3,x,x","C#,A#,E",1,44.1,A#dim7
21,A#,dim7,1;b3;b5;bb7,"3,x,1,4,2,x","A#,G,C#,E",2,44.1,A#dim7
22,A#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","E,A#,C#,G",2,44.1,A#dim7
23,A#,aug,1;3;#5,"x,3,2,1,1,x","C##,E##,A#,C##",2,44.1,A#aug
24,A#,aug,1;3;#5,"4,3,2,1,x,x","A#,C##,E##,A#",2,44.1,A#aug
25,A#,aug,1;3;#5,"x,x,4,2,3,1","C##,E##,A#,C##",2,44.1,A#aug
26,A#,maj,1;3;5,"x,1,3,3,3,x","A#,E#,A#,C##",2,30.87,A#maj
27,A#,maj,1;3;5,"1,3,4,2,1,1","A#,E#,A#,C##,E#,A#",4,30.87,A#maj
28,A#,maj,1;3;5,"x,4,3,1,2,1","A#,C##,E#,A#,C##",3,30.87,A#maj
29,A#,11,1;3;5;b7;9;11,"x,1,1,1,1,1","A#,D#,G#,B#,E#",3,61.74,A#11
30,A#,11,1;3;5;b7;9;11,"3,x,4,2,1,1","A#,G#,B#,D#,G#",3,61.74,A#11
31,A#,11,1;3;5;b7;9;11,"x,x,1,1,2,1","A#,D#,G#,B#",2,61.74,A#11
32,A#,maj9,1;3;5;7;9,"x,1,0,4,2,3","A#,C##,G##,B#,E#",3,52.92,A#maj9
33,A#,maj9,1;3;5;7;9,"2,1,4,1,x,x","A#,C##,G##,B#",2,52.92,A#maj9
34,A#,maj9,1;3;5;7;9,"x,x,4,1,2,1","A#,B#,E#,G##",2,52.92,A#maj9
19,A#,dim7,1;b3;b5;bb7,"2,x,1,3,x,x","A#,G,C#",1,44.1,A#dim7
35,A#,m,1;b3;5,"x,1,3,4,2,1","A#,E#,A#,C#,E#",3,22.05,A#m
18,A#,dim7,1;b3;b5;bb7,"x,1,2,0,3,x","A#,E,G,C#",2,44.1,A#dim7
16,A#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","C#,G,A#,E",2,44.1,A#dim7
1,A#,13,1;3;5;b7;9;11;13,"4,x,3,2,1,1","A#,G#,B#,C##,F##",3,74.97,A#13
2,A#,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4","A#,G#,C##,F##,B#",3,74.97,A#13
3,A#,7(#9),1;3;5;b7;#9,"x,1,0,2,4,3","A#,C##,G#,B##,E#",3,52.92,A#7(#9)
4,A#,7(#9),1;3;5;b7;#9,"2,1,3,3,3,x","A#,C##,G#,B##,E#",3,52.92,A#7(#9)
5,A#,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4","A#,E#,G#,C##,E#,B##",4,52.92,A#7(#9)
6,A#,9,1;3;5;b7;9,"x,2,0,3,4,x","A#,C##,G#,B#",2,52.92,A#9
7,A#,9,1;3;5;b7;9,"x,1,3,2,4,x","C##,G#,B#,E#",2,52.92,A#9
8,A#,9,1;3;5;b7;9,"1,x,1,2,1,4","A#,G#,C##,E#,B#",3,52.92,A#9
9,A#,9b5,1;3;b5;b7;9,"0,1,0,2,3,0","E,A#,C##,G#,B#,E",4,70.56,A#9b5
10,A#,9b5,1;3;b5;b7;9,"2,1,3,1,1,4","A#,C##,G#,B#,E,A#",4,70.56,A#9b5
11,A#,9b5,1;3;b5;b7;9,"x,x,1,2,3,1","A#,E,G#,B#",2,70.56,A#9b5
12,A#,7,1;3;5;b7,"x,1,3,1,4,1","A#,E#,G#,C##,E#",3,44.1,A#7
13,A#,7,1;3;5;b7,"1,3,1,2,4,1","A#,E#,G#,C##,G#,A#",4,44.1,A#7
14,A#,7,1;3;5;b7,"x,x,1,3,2,4","A#,E#,G#,C##",2,44.1,A#7
15,A#,dim7,1;b3;b5;bb7,"2,4,1,3,x,x","G,C#,E,A#",2,44.1,A#dim7
17,A#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","A#,E,G,C#",2,44.1,A#dim7
